"OID","Country or Area","Year","Description","Magnitude","Value"
"11064..XZF...","ADVANCED ECONOMIES","2009","CPI % CHANGE","PERCENT PER ANNU","-0.0980473"
"11064...ZF...","ADVANCED ECONOMIES","2009","CPI","INDEX NUMBER","108.057"
"11064..XZF...","ADVANCED ECONOMIES","2008","CPI % CHANGE","PERCENT PER ANNU","3.35078"
"11064...ZF...","ADVANCED ECONOMIES","2008","CPI","INDEX NUMBER","108.163"
"11064..XZF...","ADVANCED ECONOMIES","2007","CPI % CHANGE","PERCENT PER ANNU","2.26432"
"11064...ZF...","ADVANCED ECONOMIES","2007","CPI","INDEX NUMBER","104.657"
"11064..XZF...","ADVANCED ECONOMIES","2006","CPI % CHANGE","PERCENT PER ANNU","2.33922"
"11064...ZF...","ADVANCED ECONOMIES","2006","CPI","INDEX NUMBER","102.339"
"11064..XZF...","ADVANCED ECONOMIES","2005","CPI % CHANGE","PERCENT PER ANNU","2.33411"
"11064...ZF...","ADVANCED ECONOMIES","2005","CPI","INDEX NUMBER","100"
"11064..XZF...","ADVANCED ECONOMIES","2004","CPI % CHANGE","PERCENT PER ANNU","2.08375"
"11064...ZF...","ADVANCED ECONOMIES","2004","CPI","INDEX NUMBER","97.7191"
"11064..XZF...","ADVANCED ECONOMIES","2003","CPI % CHANGE","PERCENT PER ANNU","1.89501"
"11064...ZF...","ADVANCED ECONOMIES","2003","CPI","INDEX NUMBER","95.7245"
"11064..XZF...","ADVANCED ECONOMIES","2002","CPI % CHANGE","PERCENT PER ANNU","1.50448"
"11064...ZF...","ADVANCED ECONOMIES","2002","CPI","INDEX NUMBER","93.9442"
"11064..XZF...","ADVANCED ECONOMIES","2001","CPI % CHANGE","PERCENT PER ANNU","2.19917"
"11064...ZF...","ADVANCED ECONOMIES","2001","CPI","INDEX NUMBER","92.5518"
"11064..XZF...","ADVANCED ECONOMIES","2000","CPI % CHANGE","PERCENT PER ANNU","2.35247"
"11064...ZF...","ADVANCED ECONOMIES","2000","CPI","INDEX NUMBER","90.5602"
"11064..XZF...","ADVANCED ECONOMIES","1999","CPI % CHANGE","PERCENT PER ANNU","1.40456"
"11064...ZF...","ADVANCED ECONOMIES","1999","CPI","INDEX NUMBER","88.4788"
"11064..XZF...","ADVANCED ECONOMIES","1998","CPI % CHANGE","PERCENT PER ANNU","1.62562"
"11064...ZF...","ADVANCED ECONOMIES","1998","CPI","INDEX NUMBER","87.2533"
"11064..XZF...","ADVANCED ECONOMIES","1997","CPI % CHANGE","PERCENT PER ANNU","2.16434"
"11064...ZF...","ADVANCED ECONOMIES","1997","CPI","INDEX NUMBER","85.8575"
"11064..XZF...","ADVANCED ECONOMIES","1996","CPI % CHANGE","PERCENT PER ANNU","2.41044"
"11064...ZF...","ADVANCED ECONOMIES","1996","CPI","INDEX NUMBER","84.0387"
"11064..XZF...","ADVANCED ECONOMIES","1995","CPI % CHANGE","PERCENT PER ANNU","2.63387"
"11064...ZF...","ADVANCED ECONOMIES","1995","CPI","INDEX NUMBER","82.0606"
"11064..XZF...","ADVANCED ECONOMIES","1994","CPI % CHANGE","PERCENT PER ANNU","2.63728"
"11064...ZF...","ADVANCED ECONOMIES","1994","CPI","INDEX NUMBER","79.9547"
"11064..XZF...","ADVANCED ECONOMIES","1993","CPI % CHANGE","PERCENT PER ANNU","2.85124"
"11064...ZF...","ADVANCED ECONOMIES","1993","CPI","INDEX NUMBER","77.9003"
"11064..XZF...","ADVANCED ECONOMIES","1992","CPI % CHANGE","PERCENT PER ANNU","3.27373"
"11064...ZF...","ADVANCED ECONOMIES","1992","CPI","INDEX NUMBER","75.7407"
"11064..XZF...","ADVANCED ECONOMIES","1991","CPI % CHANGE","PERCENT PER ANNU","4.72294"
"11064...ZF...","ADVANCED ECONOMIES","1991","CPI","INDEX NUMBER","73.3398"
"11064..XZF...","ADVANCED ECONOMIES","1990","CPI % CHANGE","PERCENT PER ANNU","5.50658"
"11064...ZF...","ADVANCED ECONOMIES","1990","CPI","INDEX NUMBER","70.0322"
"11064..XZF...","ADVANCED ECONOMIES","1989","CPI % CHANGE","PERCENT PER ANNU","4.87101"
"11064...ZF...","ADVANCED ECONOMIES","1989","CPI","INDEX NUMBER","66.3771"
"11064..XZF...","ADVANCED ECONOMIES","1988","CPI % CHANGE","PERCENT PER ANNU","3.77733"
"11064...ZF...","ADVANCED ECONOMIES","1988","CPI","INDEX NUMBER","63.294"
"11064..XZF...","ADVANCED ECONOMIES","1987","CPI % CHANGE","PERCENT PER ANNU","3.49147"
"11064...ZF...","ADVANCED ECONOMIES","1987","CPI","INDEX NUMBER","60.9902"
"11064..XZF...","ADVANCED ECONOMIES","1986","CPI % CHANGE","PERCENT PER ANNU","3.09338"
"11064...ZF...","ADVANCED ECONOMIES","1986","CPI","INDEX NUMBER","58.9326"
"11064..XZF...","ADVANCED ECONOMIES","1985","CPI % CHANGE","PERCENT PER ANNU","5.18244"
"11064...ZF...","ADVANCED ECONOMIES","1985","CPI","INDEX NUMBER","57.1643"
"11064..XZF...","ADVANCED ECONOMIES","1984","CPI % CHANGE","PERCENT PER ANNU","5.85366"
"11064...ZF...","ADVANCED ECONOMIES","1984","CPI","INDEX NUMBER","54.3478"
"11064..XZF...","ADVANCED ECONOMIES","1983","CPI % CHANGE","PERCENT PER ANNU","5.85948"
"11064...ZF...","ADVANCED ECONOMIES","1983","CPI","INDEX NUMBER","51.3424"
"11064..XZF...","ADVANCED ECONOMIES","1982","CPI % CHANGE","PERCENT PER ANNU","8.30522"
"11064...ZF...","ADVANCED ECONOMIES","1982","CPI","INDEX NUMBER","48.5005"
"11064..XZF...","ADVANCED ECONOMIES","1981","CPI % CHANGE","PERCENT PER ANNU","11.3344"
"11064...ZF...","ADVANCED ECONOMIES","1981","CPI","INDEX NUMBER","44.7813"
"11064..XZF...","ADVANCED ECONOMIES","1980","CPI % CHANGE","PERCENT PER ANNU","13.5931"
"11064...ZF...","ADVANCED ECONOMIES","1980","CPI","INDEX NUMBER","40.2224"
"11064..XZF...","ADVANCED ECONOMIES","1979","CPI % CHANGE","PERCENT PER ANNU","10.3935"
"11064...ZF...","ADVANCED ECONOMIES","1979","CPI","INDEX NUMBER","35.4091"
"11064..XZF...","ADVANCED ECONOMIES","1978","CPI % CHANGE","PERCENT PER ANNU","8.25708"
"11064...ZF...","ADVANCED ECONOMIES","1978","CPI","INDEX NUMBER","32.0754"
"11064..XZF...","ADVANCED ECONOMIES","1977","CPI % CHANGE","PERCENT PER ANNU","9.63992"
"11064...ZF...","ADVANCED ECONOMIES","1977","CPI","INDEX NUMBER","29.6289"
"11064..XZF...","ADVANCED ECONOMIES","1976","CPI % CHANGE","PERCENT PER ANNU","9.26954"
"11064...ZF...","ADVANCED ECONOMIES","1976","CPI","INDEX NUMBER","27.0238"
"11064..XZF...","ADVANCED ECONOMIES","1975","CPI % CHANGE","PERCENT PER ANNU","12.2351"
"11064...ZF...","ADVANCED ECONOMIES","1975","CPI","INDEX NUMBER","24.7314"
"11064..XZF...","ADVANCED ECONOMIES","1974","CPI % CHANGE","PERCENT PER ANNU","14.6978"
"11064...ZF...","ADVANCED ECONOMIES","1974","CPI","INDEX NUMBER","22.0353"
