ccode,country,year,month,reign_type,milreg
90,Guatemala,1966,5,Indirect Military,1
90,Guatemala,1966,6,Indirect Military,1
90,Guatemala,1966,7,Indirect Military,1
90,Guatemala,1966,8,Indirect Military,1
90,Guatemala,1966,9,Indirect Military,1
90,Guatemala,1966,10,Indirect Military,1
90,Guatemala,1966,11,Indirect Military,1
90,Guatemala,1966,12,Indirect Military,1
90,Guatemala,1967,1,Indirect Military,1
90,Guatemala,1967,2,Indirect Military,1
90,Guatemala,1967,3,Indirect Military,1
90,Guatemala,1967,4,Indirect Military,1
90,Guatemala,1967,5,Indirect Military,1
90,Guatemala,1967,6,Indirect Military,1
90,Guatemala,1967,7,Indirect Military,1
90,Guatemala,1967,8,Indirect Military,1
90,Guatemala,1967,9,Indirect Military,1
90,Guatemala,1967,10,Indirect Military,1
90,Guatemala,1967,11,Indirect Military,1
90,Guatemala,1967,12,Indirect Military,1
90,Guatemala,1968,1,Indirect Military,1
90,Guatemala,1968,2,Indirect Military,1
90,Guatemala,1968,3,Indirect Military,1
90,Guatemala,1968,4,Indirect Military,1
90,Guatemala,1968,5,Indirect Military,1
90,Guatemala,1968,6,Indirect Military,1
90,Guatemala,1968,7,Indirect Military,1
90,Guatemala,1968,8,Indirect Military,1
90,Guatemala,1968,9,Indirect Military,1
90,Guatemala,1968,10,Indirect Military,1
90,Guatemala,1968,11,Indirect Military,1
90,Guatemala,1968,12,Indirect Military,1
90,Guatemala,1969,1,Indirect Military,1
90,Guatemala,1969,2,Indirect Military,1
90,Guatemala,1969,3,Indirect Military,1
90,Guatemala,1969,4,Indirect Military,1
90,Guatemala,1969,5,Indirect Military,1
90,Guatemala,1969,6,Indirect Military,1
90,Guatemala,1969,7,Indirect Military,1
90,Guatemala,1969,8,Indirect Military,1
90,Guatemala,1969,9,Indirect Military,1
90,Guatemala,1969,10,Indirect Military,1
90,Guatemala,1969,11,Indirect Military,1
90,Guatemala,1969,12,Indirect Military,1
90,Guatemala,1970,1,Indirect Military,1
90,Guatemala,1970,2,Indirect Military,1
90,Guatemala,1986,1,Indirect Military,1
90,Guatemala,1986,2,Indirect Military,1
90,Guatemala,1986,3,Indirect Military,1
90,Guatemala,1986,4,Indirect Military,1
90,Guatemala,1986,5,Indirect Military,1
90,Guatemala,1986,6,Indirect Military,1
90,Guatemala,1986,7,Indirect Military,1
90,Guatemala,1986,8,Indirect Military,1
90,Guatemala,1986,9,Indirect Military,1
90,Guatemala,1986,10,Indirect Military,1
90,Guatemala,1986,11,Indirect Military,1
90,Guatemala,1986,12,Indirect Military,1
90,Guatemala,1987,1,Indirect Military,1
90,Guatemala,1987,2,Indirect Military,1
90,Guatemala,1987,3,Indirect Military,1
90,Guatemala,1987,4,Indirect Military,1
90,Guatemala,1987,5,Indirect Military,1
90,Guatemala,1987,6,Indirect Military,1
90,Guatemala,1987,7,Indirect Military,1
90,Guatemala,1987,8,Indirect Military,1
90,Guatemala,1987,9,Indirect Military,1
90,Guatemala,1987,10,Indirect Military,1
90,Guatemala,1987,11,Indirect Military,1
90,Guatemala,1987,12,Indirect Military,1
90,Guatemala,1988,1,Indirect Military,1
90,Guatemala,1988,2,Indirect Military,1
90,Guatemala,1988,3,Indirect Military,1
90,Guatemala,1988,4,Indirect Military,1
90,Guatemala,1988,5,Indirect Military,1
90,Guatemala,1988,6,Indirect Military,1
90,Guatemala,1988,7,Indirect Military,1
90,Guatemala,1988,8,Indirect Military,1
90,Guatemala,1988,9,Indirect Military,1
90,Guatemala,1988,10,Indirect Military,1
90,Guatemala,1988,11,Indirect Military,1
90,Guatemala,1988,12,Indirect Military,1
90,Guatemala,1989,1,Indirect Military,1
90,Guatemala,1989,2,Indirect Military,1
90,Guatemala,1989,3,Indirect Military,1
90,Guatemala,1989,4,Indirect Military,1
90,Guatemala,1989,5,Indirect Military,1
90,Guatemala,1989,6,Indirect Military,1
90,Guatemala,1989,7,Indirect Military,1
90,Guatemala,1989,8,Indirect Military,1
90,Guatemala,1989,9,Indirect Military,1
90,Guatemala,1989,10,Indirect Military,1
90,Guatemala,1989,11,Indirect Military,1
90,Guatemala,1989,12,Indirect Military,1
90,Guatemala,1990,1,Indirect Military,1
90,Guatemala,1990,2,Indirect Military,1
90,Guatemala,1990,3,Indirect Military,1
90,Guatemala,1990,4,Indirect Military,1
90,Guatemala,1990,5,Indirect Military,1
90,Guatemala,1990,6,Indirect Military,1
90,Guatemala,1990,7,Indirect Military,1
90,Guatemala,1990,8,Indirect Military,1
90,Guatemala,1990,9,Indirect Military,1
90,Guatemala,1990,10,Indirect Military,1
90,Guatemala,1990,11,Indirect Military,1
90,Guatemala,1990,12,Indirect Military,1
90,Guatemala,1991,1,Indirect Military,1
90,Guatemala,1991,2,Indirect Military,1
90,Guatemala,1991,3,Indirect Military,1
90,Guatemala,1991,4,Indirect Military,1
90,Guatemala,1991,5,Indirect Military,1
90,Guatemala,1991,6,Indirect Military,1
90,Guatemala,1991,7,Indirect Military,1
90,Guatemala,1991,8,Indirect Military,1
90,Guatemala,1991,9,Indirect Military,1
90,Guatemala,1991,10,Indirect Military,1
90,Guatemala,1991,11,Indirect Military,1
90,Guatemala,1991,12,Indirect Military,1
90,Guatemala,1992,1,Indirect Military,1
90,Guatemala,1992,2,Indirect Military,1
90,Guatemala,1992,3,Indirect Military,1
90,Guatemala,1992,4,Indirect Military,1
90,Guatemala,1992,5,Indirect Military,1
90,Guatemala,1992,6,Indirect Military,1
90,Guatemala,1992,7,Indirect Military,1
90,Guatemala,1992,8,Indirect Military,1
90,Guatemala,1992,9,Indirect Military,1
90,Guatemala,1992,10,Indirect Military,1
90,Guatemala,1992,11,Indirect Military,1
90,Guatemala,1992,12,Indirect Military,1
90,Guatemala,1993,1,Indirect Military,1
90,Guatemala,1993,2,Indirect Military,1
90,Guatemala,1993,3,Indirect Military,1
90,Guatemala,1993,4,Indirect Military,1
90,Guatemala,1993,5,Indirect Military,1
92,El Salvador,1982,5,Indirect Military,1
92,El Salvador,1982,6,Indirect Military,1
92,El Salvador,1982,7,Indirect Military,1
92,El Salvador,1982,8,Indirect Military,1
92,El Salvador,1982,9,Indirect Military,1
92,El Salvador,1982,10,Indirect Military,1
92,El Salvador,1982,11,Indirect Military,1
92,El Salvador,1982,12,Indirect Military,1
92,El Salvador,1983,1,Indirect Military,1
92,El Salvador,1983,2,Indirect Military,1
92,El Salvador,1983,3,Indirect Military,1
92,El Salvador,1983,4,Indirect Military,1
92,El Salvador,1983,5,Indirect Military,1
92,El Salvador,1983,6,Indirect Military,1
92,El Salvador,1983,7,Indirect Military,1
92,El Salvador,1983,8,Indirect Military,1
92,El Salvador,1983,9,Indirect Military,1
92,El Salvador,1983,10,Indirect Military,1
92,El Salvador,1983,11,Indirect Military,1
92,El Salvador,1983,12,Indirect Military,1
92,El Salvador,1984,1,Indirect Military,1
92,El Salvador,1984,2,Indirect Military,1
92,El Salvador,1984,3,Indirect Military,1
92,El Salvador,1984,4,Indirect Military,1
92,El Salvador,1984,5,Indirect Military,1
92,El Salvador,1984,6,Indirect Military,1
92,El Salvador,1984,7,Indirect Military,1
92,El Salvador,1984,8,Indirect Military,1
92,El Salvador,1984,9,Indirect Military,1
92,El Salvador,1984,10,Indirect Military,1
92,El Salvador,1984,11,Indirect Military,1
92,El Salvador,1984,12,Indirect Military,1
92,El Salvador,1985,1,Indirect Military,1
92,El Salvador,1985,2,Indirect Military,1
92,El Salvador,1985,3,Indirect Military,1
92,El Salvador,1985,4,Indirect Military,1
92,El Salvador,1985,5,Indirect Military,1
92,El Salvador,1985,6,Indirect Military,1
92,El Salvador,1985,7,Indirect Military,1
92,El Salvador,1985,8,Indirect Military,1
92,El Salvador,1985,9,Indirect Military,1
92,El Salvador,1985,10,Indirect Military,1
92,El Salvador,1985,11,Indirect Military,1
92,El Salvador,1985,12,Indirect Military,1
92,El Salvador,1986,1,Indirect Military,1
92,El Salvador,1986,2,Indirect Military,1
92,El Salvador,1986,3,Indirect Military,1
92,El Salvador,1986,4,Indirect Military,1
92,El Salvador,1986,5,Indirect Military,1
92,El Salvador,1986,6,Indirect Military,1
92,El Salvador,1986,7,Indirect Military,1
92,El Salvador,1986,8,Indirect Military,1
92,El Salvador,1986,9,Indirect Military,1
92,El Salvador,1986,10,Indirect Military,1
92,El Salvador,1986,11,Indirect Military,1
92,El Salvador,1986,12,Indirect Military,1
92,El Salvador,1987,1,Indirect Military,1
92,El Salvador,1987,2,Indirect Military,1
92,El Salvador,1987,3,Indirect Military,1
92,El Salvador,1987,4,Indirect Military,1
92,El Salvador,1987,5,Indirect Military,1
92,El Salvador,1987,6,Indirect Military,1
92,El Salvador,1987,7,Indirect Military,1
92,El Salvador,1987,8,Indirect Military,1
92,El Salvador,1987,9,Indirect Military,1
92,El Salvador,1987,10,Indirect Military,1
92,El Salvador,1987,11,Indirect Military,1
92,El Salvador,1987,12,Indirect Military,1
92,El Salvador,1988,1,Indirect Military,1
92,El Salvador,1988,2,Indirect Military,1
92,El Salvador,1988,3,Indirect Military,1
92,El Salvador,1988,4,Indirect Military,1
92,El Salvador,1988,5,Indirect Military,1
