country_id,country_iso3_code,year,growth_proj,in_rankings,eci_sitc,eci_rank_sitc,eci_hs92,eci_rank_hs92,eci_hs12,eci_rank_hs12
4,AFG,1995,,TRUE,-0.616,102,-0.601,100,,
4,AFG,1996,,TRUE,-0.844,109,-0.59,97,,
4,AFG,1997,,TRUE,-0.351,87,-0.255,83,,
4,AFG,1998,,TRUE,-0.711,107,-0.725,102,,
4,AFG,1999,,TRUE,-0.554,103,-0.527,95,,
4,AFG,2000,,TRUE,-0.579,104,-0.453,95,,
4,AFG,2001,,TRUE,-0.411,93,-0.119,79,,
4,AFG,2002,,TRUE,-0.488,98,-0.301,87,,
4,AFG,2003,,TRUE,-0.984,115,-0.199,81,,
4,AFG,2004,,TRUE,-0.71,106,-0.322,89,,
4,AFG,2005,,TRUE,-0.361,97,0.02,76,,
4,AFG,2006,,TRUE,-1.22,125,-0.657,106,,
4,AFG,2007,,TRUE,-0.665,103,-0.738,107,,
4,AFG,2008,,TRUE,-0.298,85,-0.092,81,,
4,AFG,2009,,TRUE,0.445,56,0.373,60,,
4,AFG,2010,,TRUE,-0.212,83,-0.162,81,,
4,AFG,2011,,TRUE,-0.966,117,-0.918,112,,
4,AFG,2012,,TRUE,-0.864,111,-0.771,106,-0.772,105
4,AFG,2013,,TRUE,-1.044,117,-0.795,108,-0.76,108
4,AFG,2014,,TRUE,-1.034,121,-1.027,116,-1.034,116
4,AFG,2015,,TRUE,-1.19,122,-1.377,130,-1.392,130
4,AFG,2016,,TRUE,-1.331,129,-1.526,133,-1.504,135
4,AFG,2017,,TRUE,-1.087,122,-1.418,132,-1.401,131
4,AFG,2018,,TRUE,-1.131,122,-1.325,127,-1.304,126
4,AFG,2019,,TRUE,-1.003,112,-1.225,126,-1.195,125
4,AFG,2020,,TRUE,-1.053,120,-1.154,126,-1.112,121
4,AFG,2021,4.828,TRUE,-1.182,125,-1.327,130,-1.311,129
4,AFG,2022,4.252,TRUE,-1.134,124,-1.364,131,-1.316,129
