stateabb,ccode,leadid,leader,sdate,smonth,syear,emonth,eyear,birthyear,gender,militarycareer,l_month,l_year
USA,2,A2.9-46,Truman,12,4,1945,1,1953,1884,1,0,11,1948
USA,2,A2.9-49,Eisenhower,20,1,1953,1,1961,1890,1,1,11,1952
USA,2,A2.9-52,Kennedy,20,1,1961,11,1963,1917,1,0,11,1960
USA,2,A2.9-55,Johnson,22,11,1963,1,1969,1908,1,0,11,1964
USA,2,A2.9-58,Nixon,20,1,1969,8,1974,1913,1,0,11,1968
USA,2,A2.9-61,Ford,9,8,1974,1,1977,1913,1,0,,
USA,2,A2.9-64,Carter,20,1,1977,1,1981,1924,1,0,11,1976
USA,2,A2.9-67,Reagan,20,1,1981,1,1989,1911,1,0,11,1980
USA,2,A2.9-70,Bush,20,1,1989,1,1993,1924,1,0,11,1988
USA,2,A2.9-73,Clinton,20,1,1993,1,2001,1946,1,0,11,1992
USA,2,A2.9-76,G.W. Bush,21,1,2001,1,2009,1946,1,0,11,2000
USA,2,A3.0-1,Obama,20,1,2009,1,2017,1961,1,0,11,2008
USA,2,cb-002-01,Trump,20,1,2017,1,2021,1946,1,0,11,2016
USA,2,ctb-2-1,Biden,20,1,2021,1,2025,1942,1,0,11,2021
USA,2,,Trump,20,1,2025,,,1946,1,0,11,2020
CAN,20,A2.9-121,St. Laurent,15,11,1948,6,1957,1882,1,0,6,1949
CAN,20,A2.9-124,Diefenbaker,21,6,1957,4,1963,1895,1,0,6,1957
CAN,20,A2.9-127,Pearson,22,4,1963,4,1968,1897,1,0,4,1963
CAN,20,A2.9-130,Trudeau,20,4,1968,6,1979,1919,1,0,6,1968
CAN,20,A2.9-133,Clark,4,6,1979,3,1980,1939,1,0,5,1979
CAN,20,A2.9-136,Trudeau,3,3,1980,6,1984,1919,1,0,2,1980
CAN,20,A2.9-139,Turner,30,6,1984,9,1984,1929,1,0,,
CAN,20,A2.9-142,Mulroney,17,9,1984,6,1993,1939,1,0,9,1984
CAN,20,A2.9-145,Kim Campbell,25,6,1993,11,1993,1947,0,0,,
CAN,20,A2.9-148,Chretien,4,11,1993,12,2003,1939,1,0,10,1993
CAN,20,A2.9-151,Paul Martin,12,12,2003,2,2006,1938,1,0,6,2004
CAN,20,A3.0-2,Harper,6,2,2006,11,2015,1959,1,0,1,2006
CAN,20,cb-20-1,Trudeau,4,11,2015,3,2025,1971,1,0,10,2015
CAN,20,,Carney,14,3,2025,,,1965,1,0,,
BHM,31,A2.9-154,Pindling,10,7,1973,8,1992,1930,1,0,1,1967
BHM,31,A2.9-157,Ingraham,21,8,1992,5,2002,1947,1,0,8,1992
BHM,31,A2.9-160,Christie,3,5,2002,5,2005,1943,1,0,5,2002
BHM,31,A3.0-3,Pratt,4,5,2005,6,2005,1945,0,0,,
BHM,31,A2.9-160a,Christie,1,6,2005,5,2007,1943,1,0,5,2002
BHM,31,A3.0-4,Ingraham,4,5,2007,5,2012,1947,1,0,5,2007
BHM,31,cb-31-1,Christie,8,5,2012,5,2017,1943,1,0,5,2012
BHM,31,se-31-2,Hubert Minnis,11,5,2017,9,2021,1954,1,0,5,2017
BHM,31,ctb-31-1,Philip Davis,17,9,2021,,,1951,1,0,9,2017
CUB,40,A2.9-205,Prio Socarres,10,10,1948,3,1952,1903,1,0,6,1948
CUB,40,A2.9-208,Batista,10,3,1952,1,1959,1901,1,1,11,1954
CUB,40,A2.9-211,Castro,2,1,1959,2,2008,1927,1,0,2,1976
CUB,40,A3.0-5,Raul Castro,24,2,2008,4,2021,1931,1,1,1,2008
CUB,40,ctb-40-1,Miguel Díaz-Canel,19,4,2021,,,1960,1,0,,
HAI,41,A2.9-277,Estime,16,8,1946,5,1950,1900,1,0,8,1946
HAI,41,A2.9-280,Magloire,10,5,1950,12,1956,1907,1,1,10,1950
